magnitude_mean,magnitude_std,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,mfcc_1_std,mfcc_2_std,mfcc_3_std,mfcc_4_std,mfcc_5_std,mfcc_6_std,mfcc_7_std,mfcc_8_std,mfcc_9_std,mfcc_10_std,mfcc_11_std,mfcc_12_std,mfcc_13_std,chroma_1_mean,chroma_2_mean,chroma_3_mean,chroma_4_mean,chroma_5_mean,chroma_6_mean,chroma_7_mean,chroma_8_mean,chroma_9_mean,chroma_10_mean,chroma_11_mean,chroma_12_mean,chroma_1_std,chroma_2_std,chroma_3_std,chroma_4_std,chroma_5_std,chroma_6_std,chroma_7_std,chroma_8_std,chroma_9_std,chroma_10_std,chroma_11_std,chroma_12_std,genre
-59.057514,14.581147,-113.59882,121.57067,-19.162258,42.363937,-6.362263,18.62193,-13.699731,15.3398,-12.274303,10.970943,-8.326058,8.802087,-3.6699393,50.68895,17.200207,15.348761,12.289782,12.961207,9.443115,8.22211,8.306714,9.067516,7.959054,7.859071,7.161058,6.419961,0.3622428,0.367817,0.43983436,0.2446918,0.24786198,0.33561644,0.3646188,0.43568376,0.29598567,0.3150803,0.40700835,0.38510063,0.32703245,0.28595424,0.31615466,0.21129814,0.25625783,0.28900307,0.27721465,0.34612462,0.2537397,0.28060898,0.33296332,0.2926898,blues
-62.869064,14.690449,-207.52383,123.98514,8.947024,35.867146,2.9095986,21.51947,-8.55651,23.370674,-10.103606,11.8992405,-5.558822,5.377874,-2.2344902,88.142525,23.66249,23.923552,16.270119,16.732487,12.504673,14.1704645,11.940147,12.888547,10.21554,10.254578,9.808391,8.054382,0.46004018,0.35018247,0.3208068,0.21147157,0.20078844,0.3307942,0.3973788,0.56035495,0.38417932,0.25532588,0.28477612,0.3340937,0.37759373,0.29700688,0.30832592,0.22876175,0.20899561,0.3109321,0.2825249,0.3668128,0.2952941,0.23318566,0.27902675,0.2691739,blues
-57.06317,16.295773,-90.757164,140.44089,-29.084547,31.686693,-13.976547,25.753752,-13.66499,11.634441,-11.778321,9.714755,-13.125314,5.791246,-8.901966,57.601112,22.55784,20.299372,11.998093,12.476432,8.625063,10.336394,10.320867,8.09211,8.236647,7.5942063,8.030863,7.771138,0.27290025,0.19595262,0.31516543,0.40798622,0.54682016,0.32169873,0.304657,0.2884035,0.33415225,0.40181875,0.3843895,0.5885082,0.21146186,0.18091685,0.27153045,0.271282,0.35018638,0.23575279,0.24183126,0.2513986,0.24727519,0.33311352,0.25149974,0.35300037,blues
-66.89571,13.770261,-199.57513,150.08612,5.663406,26.855278,1.7700733,14.232647,-4.827844,9.286853,-0.7561193,8.134434,-3.2000253,6.078081,-2.4784446,74.2177,21.361393,16.034645,12.584163,16.369904,11.26088,12.487864,9.015005,9.607384,8.448777,10.500921,6.943668,7.5350003,0.3413716,0.40862367,0.52431905,0.54701287,0.65707505,0.51152366,0.3555536,0.25161317,0.24627054,0.31511125,0.31657928,0.38319883,0.25026867,0.23716046,0.32617348,0.3034657,0.34500524,0.30338138,0.23165566,0.19938417,0.2150749,0.29374424,0.28099,0.33725733,blues
-61.038456,15.988777,-160.35417,126.209496,-35.581394,22.139254,-32.47355,10.8506975,-23.350067,0.49324524,-11.7965355,1.203516,-13.084955,-2.810502,-6.934469,72.10481,29.210808,18.276552,13.919528,18.341906,11.613142,9.658858,11.168417,11.400676,9.985847,8.957855,9.297123,9.462998,0.1926048,0.3172665,0.39202207,0.25582695,0.19266349,0.5302209,0.2537794,0.13912144,0.27642432,0.3243265,0.5551238,0.2729307,0.1952845,0.3218068,0.3121162,0.27452284,0.17918569,0.36240062,0.20737363,0.17709963,0.30340976,0.2335833,0.35583666,0.21841824,blues
-64.81953,15.507908,-177.80176,118.20316,-17.570623,30.760923,-21.742546,11.919259,-20.734297,3.1852849,-8.580815,-0.93288773,-11.7722435,-2.4087653,-9.348446,85.48365,56.52615,25.575537,22.038372,20.815298,16.321999,13.027127,11.563018,13.123481,10.006048,8.7495575,8.877085,8.950292,0.23832265,0.30023736,0.6171865,0.23574118,0.12398709,0.2437683,0.27965158,0.4112927,0.2439858,0.28553343,0.28433675,0.36621904,0.28914008,0.21435252,0.38305265,0.16459557,0.1372836,0.27665427,0.25686136,0.3363817,0.23522583,0.2815077,0.28467035,0.3061557,blues
-67.147026,15.656518,-190.0688,130.27023,-36.3621,33.03621,11.093895,-0.5918834,-20.890266,0.27844086,-6.4963837,-5.512737,-7.8474026,-3.1243017,-6.6028214,98.25145,43.9739,36.15288,21.913311,32.90848,16.736532,12.315981,10.141663,11.449826,12.38557,9.3544855,8.013118,8.896452,0.42551333,0.22324328,0.13134763,0.15259734,0.24195808,0.4911694,0.24550846,0.16911277,0.28835577,0.46184453,0.35927567,0.30718616,0.36575407,0.24727167,0.18750931,0.21854377,0.21682914,0.38522926,0.24419953,0.19357644,0.29617497,0.3532435,0.33299363,0.27060512,blues
-63.95914,16.09636,-179.37231,136.44833,-26.662582,39.965446,5.3108993,10.919128,-20.559532,8.503358,-11.349763,-3.4705565,-8.415842,-6.9572124,-3.546042,81.07715,38.458363,24.314785,18.799103,25.496857,11.674245,12.794263,12.299772,13.111817,13.350184,12.147464,9.149783,9.657396,0.259357,0.26412153,0.32535812,0.21773897,0.2152773,0.2957619,0.19005173,0.1807494,0.26434094,0.3904735,0.6486375,0.43659103,0.24992944,0.29879442,0.3063758,0.26715586,0.25562876,0.289968,0.21446355,0.23962447,0.28048316,0.269728,0.35076308,0.27765796,blues
-56.00965,15.85872,-121.38979,122.49833,-14.734727,46.12214,-8.179257,20.172466,-19.171892,23.036839,-11.832727,21.154655,-6.722797,6.989505,-12.730549,51.182755,20.360193,18.472252,13.925421,13.3069935,10.341515,7.5933714,8.783775,6.524472,7.671487,6.9941754,7.51899,7.8707085,0.31967518,0.304487,0.36661547,0.42213294,0.5238111,0.4511191,0.49344274,0.35275286,0.38013846,0.4617059,0.36635947,0.4647148,0.22998272,0.23193564,0.28906626,0.27487123,0.35098004,0.29998118,0.3278098,0.2569005,0.2648275,0.3072027,0.26219124,0.31251013,blues
-64.95911,14.24312,-213.26424,115.16476,-11.698166,39.015354,-20.348328,13.082699,-9.182696,9.017149,-14.104309,4.271251,-6.0507774,3.785833,0.22263817,78.3133,28.253563,25.866669,18.73323,23.065073,16.68067,11.24508,8.244039,10.492646,9.62303,9.211916,10.2183,8.737599,0.24824716,0.27315462,0.4885124,0.26800504,0.17971842,0.2677253,0.22258572,0.41535103,0.27268866,0.18117546,0.22990076,0.24054772,0.29588422,0.29280075,0.39116335,0.24314357,0.21090655,0.32831708,0.21772783,0.3811962,0.2647291,0.21712853,0.30682132,0.27570984,blues
-66.74904,14.645288,-173.81047,137.17355,-23.723026,26.979671,-16.675207,4.1947265,-12.571785,5.851667,-2.876948,-1.1783829,-1.9682388,1.8011786,-3.0069497,90.23892,32.90371,32.077187,22.257994,17.023214,12.652123,12.268544,9.079922,10.4205675,8.102306,7.451989,7.610537,9.677182,0.46209037,0.17099187,0.1925567,0.37835655,0.3539494,0.45925716,0.27628475,0.32396185,0.18765378,0.20239782,0.32359976,0.31653857,0.37695473,0.19198725,0.19357729,0.36217237,0.27540463,0.4172357,0.25306225,0.30763158,0.2236752,0.2320496,0.30623493,0.2640093,blues
-69.7121,12.195075,-287.9319,124.010765,5.467456,33.663067,1.0916592,14.703696,-4.8811393,8.66889,0.7843339,6.5760784,-4.875814,-3.1767623,-5.5382576,77.015236,31.543549,17.380322,18.560555,21.005148,15.3422575,12.22833,13.759415,12.193044,10.687589,9.683863,9.175842,8.1112795,0.24834034,0.23031718,0.30519626,0.4141206,0.65872407,0.541794,0.3526597,0.34855935,0.34550485,0.34785601,0.27667347,0.3209025,0.2723556,0.21181618,0.24727276,0.27659398,0.37498674,0.35104004,0.25400087,0.30413666,0.30063057,0.3187299,0.27621573,0.33483902,blues
-66.501564,14.573554,-207.2383,132.82741,-15.45408,60.980972,0.7190281,12.461328,1.1633867,-1.5329211,-17.895845,8.360361,-2.4596498,-0.5846404,0.37226558,67.644485,25.807419,30.581554,18.180557,17.718586,10.055081,10.389086,10.565762,9.817126,9.737115,11.817762,9.6303835,9.280759,0.3037391,0.16060716,0.2195065,0.20335963,0.19669212,0.26667145,0.30215806,0.1577231,0.18236226,0.21339056,0.37535894,0.6504872,0.22767454,0.2154504,0.3050646,0.26023442,0.28418612,0.30281362,0.3276802,0.19755957,0.23942706,0.2582137,0.24458635,0.39902183,blues
-67.86801,12.022463,-209.80392,124.46476,10.309396,47.016357,6.4782286,15.41512,-2.0159404,6.726218,-21.543222,10.720835,-5.532846,-2.1957285,-3.049185,44.369503,23.279467,25.73227,12.182557,10.094636,12.090126,8.332614,8.718923,9.819252,9.790833,9.521119,7.6940365,7.232871,0.12769455,0.14224939,0.17113939,0.14699556,0.18999651,0.23210025,0.1563588,0.21675123,0.34527633,0.38490975,0.69176924,0.3736831,0.17354879,0.23446554,0.24348977,0.22803605,0.25214413,0.26040387,0.18247621,0.24512662,0.34524876,0.2405816,0.37891945,0.24556054,blues
-71.884285,12.16174,-305.66437,113.07102,12.10734,45.052193,17.734394,14.590064,4.148001,0.22630684,-7.0215826,13.646474,8.914213,1.3037969,5.954981,90.51317,26.117975,38.245975,14.985573,15.77493,12.432699,12.554464,12.918809,9.878761,8.76354,9.488391,7.917948,8.019833,0.2959798,0.31584713,0.2945962,0.23986489,0.29456353,0.31403106,0.23693258,0.23518,0.28398797,0.3779185,0.62069154,0.43712384,0.32246703,0.33374512,0.3146889,0.27508035,0.3062376,0.3205208,0.2524031,0.24704732,0.28364563,0.29119787,0.4202882,0.33645007,blues
-68.30497,13.002577,-238.51962,120.10219,-4.221946,42.294594,5.923823,13.911398,5.350525,1.8952665,-16.92809,12.343145,3.9389002,-1.3966838,0.013028681,66.17874,26.984787,31.285719,19.575136,17.283571,10.834489,10.937951,11.9949665,9.477282,8.731137,9.03389,7.804484,7.782455,0.27003887,0.16510168,0.2418899,0.24282658,0.28292662,0.2934613,0.26243216,0.17003125,0.19486089,0.24148698,0.3523686,0.5193533,0.23425578,0.21633047,0.3333989,0.294464,0.34318125,0.32791823,0.29376388,0.21258762,0.24548535,0.2729049,0.28046876,0.41378647,blues
-65.869026,13.425153,-233.77281,120.66434,-3.164091,39.514828,3.8315253,18.828156,-3.6787374,4.425468,-14.964927,17.571478,1.8461257,2.550088,-1.2302384,70.41757,23.701458,34.74571,19.920452,16.866493,12.50294,10.022332,10.56024,10.076125,10.110481,10.419308,8.156764,8.06614,0.23239245,0.1687565,0.14952137,0.27854714,0.40721023,0.2495265,0.27207148,0.35484123,0.5287467,0.5378589,0.26490322,0.25382757,0.28451446,0.22179174,0.19808544,0.27388963,0.3539349,0.25877345,0.2907407,0.31070304,0.3497065,0.38995123,0.23106846,0.29076582,blues
-68.5552,14.222988,-245.68724,140.48125,-2.791216,60.404514,18.903517,9.828393,3.5638263,0.5228611,-16.378489,6.629352,7.258425,-4.0212355,1.6011256,72.08507,28.287134,28.210382,18.997026,15.344067,9.991209,10.888111,9.659253,11.362887,10.258175,9.839573,8.445612,8.541872,0.30274373,0.20726669,0.15756597,0.1596936,0.30663747,0.25637436,0.25430107,0.31278467,0.42521173,0.57849765,0.35299775,0.31265053,0.32578847,0.24110216,0.224287,0.18722679,0.323264,0.24763134,0.2810054,0.2927322,0.29362267,0.3848717,0.23092386,0.32286623,blues
